"Relative Pressure","Volume @ STP","1 / [ W((P/Po) - 1) ]",Slope,"Surf. Area"
6.06730e-02,0.5932,8.7121e+01,1435.9123,2.4253
1.03331e-01,0.6536,1.4108e+02,1365.3205,2.5507
1.55175e-01,0.7083,2.0750e+02,1337.1715,2.6044
2.01727e-01,0.7516,2.6901e+02,1333.5282,2.6115
2.52531e-01,0.7972,3.3910e+02,1342.8091,2.5935
3.01385e-01,0.8449,4.0852e+02,1355.4657,2.5692
3.51939e-01,0.8964,4.8474e+02,1377.3479,2.5284
4.01697e-01,0.9403,5.7129e+02,1422.2034,2.4487
4.51598e-01,0.9946,6.6244e+02,1466.8767,2.3741
5.00186e-01,1.0533,7.6015e+02,1519.7409,2.2915
5.49779e-01,1.1127,8.7805e+02,1597.1009,2.1805
6.00103e-01,1.1681,1.0279e+03,1712.8887,2.0331
6.46755e-01,1.2606,1.1621e+03,1796.7983,1.9382
6.97051e-01,1.3796,1.3344e+03,1914.3301,1.8192
7.46629e-01,1.5537,1.5175e+03,2032.5135,1.7134
7.96573e-01,1.7435,1.7970e+03,2255.9290,1.5437
8.47636e-01,2.0759,2.1442e+03,2529.6035,1.3767
9.03453e-01,2.6927,2.7806e+03,3077.6985,1.1315
9.47968e-01,3.7380,3.8997e+03,4113.7708,0.8466
9.95682e-01,9.1875,2.0081e+04,20168.3362,0.1727
9.94671e-01,9.1597,1.6304e+04,16391.6193,0.2125
9.46477e-01,4.6856,3.0196e+03,3190.3960,1.0916
8.85926e-01,3.4214,1.8161e+03,2049.9989,1.6988
8.43749e-01,2.9482,1.4655e+03,1736.8604,2.0051
7.85636e-01,2.5160,1.1655e+03,1483.5149,2.3475
7.41092e-01,2.2625,1.0123e+03,1365.9211,2.5496
6.84342e-01,1.9915,8.7103e+02,1272.7999,2.7361
6.51998e-01,1.8588,8.0647e+02,1236.9242,2.8155
5.84447e-01,1.6438,6.8459e+02,1171.3473,2.9731
5.31505e-01,1.5290,5.9369e+02,1116.9948,3.1178
4.84344e-01,1.2943,5.8063e+02,1198.7956,2.9050
4.31617e-01,1.0897,5.5756e+02,1291.8005,2.6959
3.94647e-01,1.0293,5.0674e+02,1284.0423,2.7122
3.43598e-01,0.9816,4.2667e+02,1241.7694,2.8045
2.80924e-01,0.9053,3.4528e+02,1229.0947,2.8334
2.43502e-01,0.8622,2.9871e+02,1226.7416,2.8388
1.81811e-01,0.7900,2.2506e+02,1237.8872,2.8133
1.31996e-01,0.7247,1.6789e+02,1271.9278,2.7380
8.12340e-02,0.6484,1.0911e+02,1343.0959,2.5929
4.48810e-02,0.5784,6.5008e+01,1448.4426,2.4043
